,time,wat,data
15,18.1685,EXP ,"Created ref_att_quest2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='ref_att_quest2', opacity=1.0, ori=0, pos=array([ 0. , -0.1]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)"
16,18.2386,EXP ,"Created ref_att_scale2 = RatingScale(acceptKeys=['return'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=u'accept?', autoLog=True, choices=False, depth=0, disappear=False, flipVert=False, high=5, kwargs=UNKNOWN, labels=list(...), leftKeys=['left'], lineColor='White', low=1, marker=ShapeStim(...), markerColor='DarkBlue', markerExpansion=UNKNOWN, markerStart=None, maxTime=0.0, minTime=0.4, mouseOnly=False, name='ref_att_scale2', noMouse=False, pos=[0.0, -0.7], precision=1, respKeys=['1', '2', '3', '4', '5'], rightKeys=['right'], scale=str(...), self=UNKNOWN, showAccept=True, showValue=True, singleClick=False, size=0.6, skipKeys=['tab'], stretch=1.0, textColor='LightGray', textFont='Helvetica Bold', textSize=0.12, tickHeight=1.0, tickMarks=4.0, win=Window(...))"
17,18.3914,EXP ,"Created ref_int_inst1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='ref_int_inst1', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)"
18,18.4017,EXP ,"Created ref_int_quest1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='ref_int_quest1', opacity=1.0, ori=0, pos=array([ 0. , -0.1]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1.5)"
19,18.4707,EXP ,"Created ref_int_scale1 = RatingScale(acceptKeys=['return'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=u'accept?', autoLog=True, choices=False, depth=0, disappear=False, flipVert=False, high=5, kwargs=UNKNOWN, labels=list(...), leftKeys=['left'], lineColor='White', low=1, marker=ShapeStim(...), markerColor='DarkBlue', markerExpansion=UNKNOWN, markerStart=None, maxTime=0.0, minTime=0.4, mouseOnly=False, name='ref_int_scale1', noMouse=False, pos=[0.0, -0.7], precision=1, respKeys=['1', '2', '3', '4', '5'], rightKeys=['right'], scale=str(...), self=UNKNOWN, showAccept=True, showValue=True, singleClick=False, size=0.6, skipKeys=['tab'], stretch=1.0, textColor='LightGray', textFont='Helvetica Bold', textSize=0.12, tickHeight=1.0, tickMarks=4.0, win=Window(...))"
20,18.5306,EXP ,"Created ref_int_inst2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='ref_int_inst2', opacity=1.0, ori=0, pos=array([ 0. ,  0.5]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)"
21,18.5417,EXP ,"Created ref_int_quest2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='ref_int_quest2', opacity=1.0, ori=0, pos=array([ 0. , -0.1]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)"
22,18.6112,EXP ,"Created ref_int_scale2 = RatingScale(acceptKeys=['return'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=u'accept?', autoLog=True, choices=False, depth=0, disappear=False, flipVert=False, high=5, kwargs=UNKNOWN, labels=list(...), leftKeys=['left'], lineColor='White', low=1, marker=ShapeStim(...), markerColor='DarkBlue', markerExpansion=UNKNOWN, markerStart=None, maxTime=0.0, minTime=0.4, mouseOnly=False, name='ref_int_scale2', noMouse=False, pos=[0.0, -0.7], precision=1, respKeys=['1', '2', '3', '4', '5'], rightKeys=['right'], scale=str(...), self=UNKNOWN, showAccept=True, showValue=True, singleClick=False, size=0.6, skipKeys=['tab'], stretch=1.0, textColor='LightGray', textFont='Helvetica Bold', textSize=0.12, tickHeight=1.0, tickMarks=4.0, win=Window(...))"
23,18.8854,EXP ,"Created trust_rat_inst = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='trust_rat_inst', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)"
24,18.946,EXP ,"Created end_mess_inst = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='end_mess_inst', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)"
26,18.9577,EXP ,ref_att_scale1: flipVert = False
27,18.9577,EXP ,ref_att_scale1: autoLog = True
28,18.9577,EXP ,ref_att_scale2: flipVert = False
29,18.9577,EXP ,ref_att_scale2: autoLog = True
30,18.9577,EXP ,ref_int_scale1: flipVert = False
31,18.9577,EXP ,ref_int_scale1: autoLog = True
32,18.9577,EXP ,ref_int_scale2: flipVert = False
33,18.9577,EXP ,ref_int_scale2: autoLog = True
34,18.9577,EXP ,start_mess_inst: autoDraw = True
2749,64.1713,DATA ,Keypress: space
2750,64.1739,EXP ,"Imported condition.csv as conditions, 2 conditions, 2 params"
2751,64.1743,EXP ,"Created sequence: random, trialTypes=2, nReps=1, seed=None"
2752,64.1747,EXP ,"New trial (rep=0, index=0): {'avatar': u'C:\\Users\\default.DMXIA_SIMO83\\Desktop\\Booth\\experiment\\I_b1w2\\videos\\w2.mp4', 'priming': u'C:\\Users\\default.DMXIA_SIMO83\\Desktop\\Booth\\experiment\\I_b1w2\\videos\\p2.mp4'}"
2754,64.188,EXP ,start_mess_inst: autoDraw = False
2755,64.188,EXP ,ton_data_inst: autoDraw = True
3056,69.186,DATA ,Keypress: space
9931,184.1827,EXP ,ton_data_inst: autoDraw = False
9932,186.7159,DATA ,Keypress: space
9934,186.7316,EXP ,ton_data_inst: autoDraw = False
9935,186.7316,EXP ,prim_inst: autoDraw = True
10319,193.1127,DATA ,Keypress: space
10321,198.2978,EXP ,prim_inst: autoDraw = False
10322,198.2978,EXP ,prim_mov: movie = u'C:\\Users\\default.DMXIA_SIMO83\\Desktop\\Booth\\experiment\\I_b1w2\\videos\\p2.mp4'
10323,198.2978,EXP ,prim_mov: autoLog = True
10324,198.2978,EXP ,prim_mov: autoDraw = True
10334,383.8,WARNING ,Multiple Movie frames have occurred - I'll stop bothering you about them!
10335,598.9202,EXP ,Set prim_mov finished
10337,598.9408,EXP ,prim_mov: autoDraw = False
10338,598.9408,EXP ,av_inst: autoDraw = True
10349,599.1114,EXP ,Set prim_mov finished
11603,619.9851,DATA ,Keypress: space
11605,620.1207,EXP ,av_inst: autoDraw = False
11606,620.1207,EXP ,av_mov: movie = u'C:\\Users\\default.DMXIA_SIMO83\\Desktop\\Booth\\experiment\\I_b1w2\\videos\\w2.mp4'
11607,620.1207,EXP ,av_mov: autoLog = True
11608,620.1207,EXP ,av_mov: autoDraw = True
11618,691.7,WARNING ,Multiple Movie frames have occurred - I'll stop bothering you about them!
11619,920.4262,EXP ,Set av_mov finished
11621,920.4479,EXP ,av_mov: autoDraw = False
11622,920.4479,EXP ,dec_inst: autoDraw = True
11630,920.5654,EXP ,Set av_mov finished
12083,928.0952,DATA ,Keypress: y
12085,928.1115,EXP ,dec_inst: autoDraw = False
12086,928.1115,EXP ,pers_quest_inst: autoDraw = True
13732,955.5159,DATA ,Keypress: space
13733,955.5179,EXP ,"Imported PIQ12.csv as conditions, 17 conditions, 1 params"
13734,955.5181,EXP ,"Created sequence: sequential, trialTypes=17, nReps=1, seed=None"
13735,955.5184,EXP ,"New trial (rep=0, index=0): {'questionone': u'Refugees are different from most people'}"
13736,955.5457,EXP ,RatingScale ref_att_scale1: reset()
13743,955.572,EXP ,pers_quest_inst: autoDraw = False
13744,955.572,EXP ,ref_att_quest1: text = u'Refugees are different from most people'
13745,955.572,EXP ,ref_att_inst1: autoDraw = True
13746,955.572,EXP ,ref_att_quest1: autoDraw = True
13747,955.572,EXP ,ref_att_scale1: autoDraw = True
18134,967.7438,DATA ,Keypress: 2
19677,972.658,DATA ,Keypress: return
19683,972.6611,DATA ,RatingScale ref_att_scale1: (key response) rating=2
19684,972.6611,DATA ,RatingScale ref_att_scale1: rating RT=17.115
19685,972.6611,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (2, 12.199), (2, 17.115)]"
19687,972.675,EXP ,"New trial (rep=0, index=1): {'questionone': u'Only a few refugees are really dangerous'}"
19688,972.7137,EXP ,RatingScale ref_att_scale1: reset()
19695,972.7213,EXP ,ref_att_inst1: autoDraw = False
19696,972.7213,EXP ,ref_att_quest1: autoDraw = False
19697,972.7213,EXP ,ref_att_scale1: autoDraw = False
19698,972.7213,EXP ,ref_att_quest1: text = u'Only a few refugees are really dangerous'
19699,972.7213,EXP ,ref_att_inst1: autoDraw = True
19700,972.7213,EXP ,ref_att_quest1: autoDraw = True
19701,972.7213,EXP ,ref_att_scale1: autoDraw = True
23025,981.9385,DATA ,Keypress: 5
23333,982.8036,DATA ,Keypress: return
23339,982.8055,DATA ,RatingScale ref_att_scale1: (key response) rating=5
23340,982.8055,DATA ,RatingScale ref_att_scale1: rating RT=10.091
23341,982.8055,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (5, 9.224), (5, 10.091)]"
23343,982.8204,EXP ,"New trial (rep=0, index=2): {'questionone': u'Refugees will never change'}"
23344,982.8511,EXP ,RatingScale ref_att_scale1: reset()
23351,982.8588,EXP ,ref_att_inst1: autoDraw = False
23352,982.8588,EXP ,ref_att_quest1: autoDraw = False
23353,982.8588,EXP ,ref_att_scale1: autoDraw = False
23354,982.8588,EXP ,ref_att_quest1: text = u'Refugees will never change'
23355,982.8588,EXP ,ref_att_inst1: autoDraw = True
23356,982.8588,EXP ,ref_att_quest1: autoDraw = True
23357,982.8588,EXP ,ref_att_scale1: autoDraw = True
24683,987.1859,DATA ,Keypress: 2
24889,987.7679,DATA ,Keypress: return
24895,987.7698,DATA ,RatingScale ref_att_scale1: (key response) rating=2
24896,987.7698,DATA ,RatingScale ref_att_scale1: rating RT=4.918
24897,987.7698,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (2, 4.334), (2, 4.918)]"
24899,987.7854,EXP ,"New trial (rep=0, index=3): {'questionone': u'Most refugees are victims of circumstances and deserve to be helped'}"
24900,987.8477,EXP ,RatingScale ref_att_scale1: reset()
24907,987.8554,EXP ,ref_att_inst1: autoDraw = False
24908,987.8554,EXP ,ref_att_quest1: autoDraw = False
24909,987.8554,EXP ,ref_att_scale1: autoDraw = False
24910,987.8554,EXP ,ref_att_quest1: text = u'Most refugees are victims of circumstances and deserve to be helped'
24911,987.8554,EXP ,ref_att_inst1: autoDraw = True
24912,987.8554,EXP ,ref_att_quest1: autoDraw = True
24913,987.8554,EXP ,ref_att_scale1: autoDraw = True
28442,997.7135,DATA ,Keypress: 3
29091,999.5126,DATA ,Keypress: 2
29890,1001.7284,DATA ,Keypress: 4
31631,1006.5449,DATA ,Keypress: 5
32742,1009.6412,DATA ,Keypress: 4
33295,1011.1738,DATA ,Keypress: return
33301,1011.1755,DATA ,RatingScale ref_att_scale1: (key response) rating=4
33302,1011.1756,DATA ,RatingScale ref_att_scale1: rating RT=23.327
33303,1011.1756,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (3, 9.866), (2, 11.666), (4, 13.882), (5, 18.713), (4, 21.795), (4, 23.327)]"
33305,1011.1908,EXP ,"New trial (rep=0, index=4): {'questionone': u'It is not wise to trust a refugee too far'}"
33306,1011.226,EXP ,RatingScale ref_att_scale1: reset()
33313,1011.2336,EXP ,ref_att_inst1: autoDraw = False
33314,1011.2336,EXP ,ref_att_quest1: autoDraw = False
33315,1011.2336,EXP ,ref_att_scale1: autoDraw = False
33316,1011.2336,EXP ,ref_att_quest1: text = u'It is not wise to trust a refugee too far'
33317,1011.2336,EXP ,ref_att_inst1: autoDraw = True
33318,1011.2336,EXP ,ref_att_quest1: autoDraw = True
33319,1011.2336,EXP ,ref_att_scale1: autoDraw = True
36434,1019.8866,DATA ,Keypress: 2
36807,1020.9195,DATA ,Keypress: return
36813,1020.9214,DATA ,RatingScale ref_att_scale1: (key response) rating=2
36814,1020.9214,DATA ,RatingScale ref_att_scale1: rating RT=9.695
36815,1020.9215,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (2, 8.661), (2, 9.695)]"
36817,1020.9365,EXP ,"New trial (rep=0, index=5): {'questionone': u'I think I will like many refugees'}"
36818,1020.9721,EXP ,RatingScale ref_att_scale1: reset()
36825,1020.9796,EXP ,ref_att_inst1: autoDraw = False
36826,1020.9796,EXP ,ref_att_quest1: autoDraw = False
36827,1020.9796,EXP ,ref_att_scale1: autoDraw = False
36828,1020.9796,EXP ,ref_att_quest1: text = u'I think I will like many refugees'
36829,1020.9796,EXP ,ref_att_inst1: autoDraw = True
36830,1020.9796,EXP ,ref_att_quest1: autoDraw = True
36831,1020.9796,EXP ,ref_att_scale1: autoDraw = True
38511,1025.6358,DATA ,Keypress: 3
38645,1026.0171,DATA ,Keypress: return
38651,1026.0189,DATA ,RatingScale ref_att_scale1: (key response) rating=3
38652,1026.0189,DATA ,RatingScale ref_att_scale1: rating RT=5.046
38653,1026.0189,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (3, 4.663), (3, 5.046)]"
38655,1026.0341,EXP ,"New trial (rep=0, index=6): {'questionone': u'Challenging living conditions and traumatic events in their countries just made the refugees bitter'}"
38656,1026.1146,EXP ,RatingScale ref_att_scale1: reset()
38663,1026.1221,EXP ,ref_att_inst1: autoDraw = False
38664,1026.1221,EXP ,ref_att_quest1: autoDraw = False
38665,1026.1221,EXP ,ref_att_scale1: autoDraw = False
38666,1026.1221,EXP ,ref_att_quest1: text = u'Challenging living conditions and traumatic events in their countries just made the refugees bitter'
38667,1026.1221,EXP ,ref_att_inst1: autoDraw = True
38668,1026.1221,EXP ,ref_att_quest1: autoDraw = True
38669,1026.1221,EXP ,ref_att_scale1: autoDraw = True
42696,1037.6619,DATA ,Keypress: 3
42847,1038.0783,DATA ,Keypress: return
42853,1038.0805,DATA ,RatingScale ref_att_scale1: (key response) rating=3
42854,1038.0806,DATA ,RatingScale ref_att_scale1: rating RT=11.965
42855,1038.0806,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (3, 11.548), (3, 11.965)]"
42857,1038.0954,EXP ,"New trial (rep=0, index=7): {'questionone': u'Give a refugee an inch and they will take a mile'}"
42858,1038.142,EXP ,RatingScale ref_att_scale1: reset()
42865,1038.1497,EXP ,ref_att_inst1: autoDraw = False
42866,1038.1497,EXP ,ref_att_quest1: autoDraw = False
42867,1038.1497,EXP ,ref_att_scale1: autoDraw = False
42868,1038.1497,EXP ,ref_att_quest1: text = u'Give a refugee an inch and they will take a mile'
42869,1038.1497,EXP ,ref_att_inst1: autoDraw = True
42870,1038.1497,EXP ,ref_att_quest1: autoDraw = True
42871,1038.1497,EXP ,ref_att_scale1: autoDraw = True
44414,1042.4265,DATA ,Keypress: 2
45837,1046.3746,DATA ,Keypress: return
45843,1046.3764,DATA ,RatingScale ref_att_scale1: (key response) rating=2
45844,1046.3765,DATA ,RatingScale ref_att_scale1: rating RT=8.234
45845,1046.3765,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (2, 4.285), (2, 8.234)]"
45847,1046.3915,EXP ,"New trial (rep=0, index=8): {'questionone': u'Refugees need affection and praise just like anybody else'}"
45848,1046.439,EXP ,RatingScale ref_att_scale1: reset()
45855,1046.4466,EXP ,ref_att_inst1: autoDraw = False
45856,1046.4466,EXP ,ref_att_quest1: autoDraw = False
45857,1046.4466,EXP ,ref_att_scale1: autoDraw = False
45858,1046.4466,EXP ,ref_att_quest1: text = u'Refugees need affection and praise just like anybody else'
45859,1046.4466,EXP ,ref_att_inst1: autoDraw = True
45860,1046.4466,EXP ,ref_att_quest1: autoDraw = True
45861,1046.4466,EXP ,ref_att_scale1: autoDraw = True
47452,1050.8559,DATA ,Keypress: 4
47591,1051.239,DATA ,Keypress: return
47597,1051.2409,DATA ,RatingScale ref_att_scale1: (key response) rating=4
47598,1051.2409,DATA ,RatingScale ref_att_scale1: rating RT=4.801
47599,1051.241,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (4, 4.418), (4, 4.801)]"
47601,1051.2571,EXP ,"New trial (rep=0, index=9): {'questionone': u'You should not expect too much from a refugee'}"
47602,1051.304,EXP ,RatingScale ref_att_scale1: reset()
47609,1051.3115,EXP ,ref_att_inst1: autoDraw = False
47610,1051.3115,EXP ,ref_att_quest1: autoDraw = False
47611,1051.3115,EXP ,ref_att_scale1: autoDraw = False
47612,1051.3115,EXP ,ref_att_quest1: text = u'You should not expect too much from a refugee'
47613,1051.3115,EXP ,ref_att_inst1: autoDraw = True
47614,1051.3115,EXP ,ref_att_quest1: autoDraw = True
47615,1051.3115,EXP ,ref_att_scale1: autoDraw = True
51282,1061.4846,DATA ,Keypress: 2
53953,1068.8977,DATA ,Keypress: return
53959,1068.8994,DATA ,RatingScale ref_att_scale1: (key response) rating=2
53960,1068.8995,DATA ,RatingScale ref_att_scale1: rating RT=17.595
53961,1068.8995,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (2, 10.182), (2, 17.595)]"
53963,1068.9147,EXP ,"New trial (rep=0, index=10): {'questionone': u'Trying to integrate refugees is a waste of time and money'}"
53964,1068.9595,EXP ,RatingScale ref_att_scale1: reset()
53971,1068.9684,EXP ,ref_att_inst1: autoDraw = False
53972,1068.9684,EXP ,ref_att_quest1: autoDraw = False
53973,1068.9684,EXP ,ref_att_scale1: autoDraw = False
53974,1068.9684,EXP ,ref_att_quest1: text = u'Trying to integrate refugees is a waste of time and money'
53975,1068.9684,EXP ,ref_att_inst1: autoDraw = True
53976,1068.9684,EXP ,ref_att_quest1: autoDraw = True
53977,1068.9684,EXP ,ref_att_scale1: autoDraw = True
55412,1072.9458,DATA ,Keypress: 2
55569,1073.379,DATA ,Keypress: return
55575,1073.3808,DATA ,RatingScale ref_att_scale1: (key response) rating=2
55576,1073.3809,DATA ,RatingScale ref_att_scale1: rating RT=4.421
55577,1073.3809,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (2, 3.987), (2, 4.421)]"
55579,1073.3959,EXP ,"New trial (rep=0, index=11): {'questionone': u'You never know when a refugee is telling the truth'}"
55580,1073.4373,EXP ,RatingScale ref_att_scale1: reset()
55587,1073.4449,EXP ,ref_att_inst1: autoDraw = False
55588,1073.4449,EXP ,ref_att_quest1: autoDraw = False
55589,1073.4449,EXP ,ref_att_scale1: autoDraw = False
55590,1073.4449,EXP ,ref_att_quest1: text = u'You never know when a refugee is telling the truth'
55591,1073.4449,EXP ,ref_att_inst1: autoDraw = True
55592,1073.4449,EXP ,ref_att_quest1: autoDraw = True
55593,1073.4449,EXP ,ref_att_scale1: autoDraw = True
57322,1078.2435,DATA ,Keypress: 3
57683,1079.2432,DATA ,Keypress: return
57689,1079.2451,DATA ,RatingScale ref_att_scale1: (key response) rating=3
57690,1079.2452,DATA ,RatingScale ref_att_scale1: rating RT=5.807
57691,1079.2452,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (3, 4.807), (3, 5.807)]"
57693,1079.2605,EXP ,"New trial (rep=0, index=12): {'questionone': u'Refugees are no better or worse than other people'}"
57694,1079.3016,EXP ,RatingScale ref_att_scale1: reset()
57701,1079.3093,EXP ,ref_att_inst1: autoDraw = False
57702,1079.3093,EXP ,ref_att_quest1: autoDraw = False
57703,1079.3093,EXP ,ref_att_scale1: autoDraw = False
57704,1079.3093,EXP ,ref_att_quest1: text = u'Refugees are no better or worse than other people'
57705,1079.3093,EXP ,ref_att_inst1: autoDraw = True
57706,1079.3093,EXP ,ref_att_quest1: autoDraw = True
57707,1079.3093,EXP ,ref_att_scale1: autoDraw = True
59682,1084.7905,DATA ,Keypress: 4
59790,1085.0755,DATA ,Keypress: return
59791,1085.0756,DATA ,RatingScale ref_att_scale1: (key response) rating=4
59792,1085.0757,DATA ,RatingScale ref_att_scale1: rating RT=5.773
59793,1085.0757,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (4, 5.49), (4, 5.773)]"
59795,1085.0907,EXP ,"New trial (rep=0, index=13): {'questionone': u'You have to be constantly on your guard with refugees'}"
59796,1085.1361,EXP ,RatingScale ref_att_scale1: reset()
59803,1085.1434,EXP ,ref_att_inst1: autoDraw = False
59804,1085.1434,EXP ,ref_att_quest1: autoDraw = False
59805,1085.1434,EXP ,ref_att_scale1: autoDraw = False
59806,1085.1434,EXP ,ref_att_quest1: text = u'You have to be constantly on your guard with refugees'
59807,1085.1434,EXP ,ref_att_inst1: autoDraw = True
59808,1085.1434,EXP ,ref_att_quest1: autoDraw = True
59809,1085.1434,EXP ,ref_att_scale1: autoDraw = True
62120,1091.5541,DATA ,Keypress: 2
62235,1091.8707,DATA ,Keypress: return
62241,1091.8725,DATA ,RatingScale ref_att_scale1: (key response) rating=2
62242,1091.8725,DATA ,RatingScale ref_att_scale1: rating RT=6.736
62243,1091.8726,DATA ,"RatingScale ref_att_scale1: history=[(None, 0.0), (2, 6.419), (2, 6.736)]"
62245,1091.8877,EXP ,"New trial (rep=0, index=14): {'questionone': u'In general refugees think and act alike'}"
62246,1091.9228,EXP ,RatingScale ref_att_scale1: reset()
62253,1091.9304,EXP ,ref_att_inst1: autoDraw = False
62254,1091.9304,EXP ,ref_att_quest1: autoDraw = False
62255,1091.9304,EXP ,ref_att_scale1: autoDraw = False
